X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
7.4167,43.7333,124,Monaco,2020/05/23 12:32:43+00,43.7333,7.4167,97,4,90,3,247.1715421,,,4.12371134,492,MCO
103.8467,46.8625,125,Mongolia,2020/05/23 12:32:43+00,46.8625,103.8467,141,0,30,111,4.301020165,,,0,496,MNG
19.37439,42.708678,126,Montenegro,2020/05/23 12:32:43+00,42.708678,19.37439,324,9,314,1,51.58726368,,,2.777777778,499,MNE
-7.0926,31.7917,127,Morocco,2020/05/23 12:32:43+00,31.7917,-7.0926,7375,197,4573,2605,19.98073288,,,2.671186441,504,MAR
35.529562,-18.665695,128,Mozambique,2020/05/23 12:32:43+00,-18.665695,35.529562,164,0,48,116,0.524708743,,,0,508,MOZ
18.4904,-22.9576,129,Namibia,2020/05/23 12:32:43+00,-22.9576,18.4904,20,0,14,6,0.787117717,,,0,516,NAM
84.25,28.1667,130,Nepal,2020/05/23 12:32:43+00,28.1667,84.25,584,3,70,511,2.004337606,,,0.51369863,524,NPL
174.886,-40.9006,131,New Zealand,2020/05/23 12:32:43+00,-40.9006,174.886,1504,21,1455,28,31.18887038,,,1.396276596,554,NZL
-85.207229,12.865416,132,Nicaragua,2020/05/23 12:32:43+00,12.865416,-85.207229,279,17,199,63,4.211604283,,,6.093189964,558,NIC
8.081666,17.607789,133,Niger,2020/05/23 12:32:43+00,17.607789,8.081666,937,60,764,113,3.870839385,,,6.403415155,562,NER
8.6753,9.082,134,Nigeria,2020/05/23 12:32:43+00,9.082,8.6753,7261,221,2007,5033,3.522370499,,,3.043657898,566,NGA
21.7453,41.6086,135,North Macedonia,2020/05/23 12:32:43+00,41.6086,21.7453,1941,113,1411,417,93.16591308,,,5.82174137,807,MKD
55.923255,21.512583,136,Oman,2020/05/23 12:32:43+00,21.512583,55.923255,7257,34,1848,5375,142.1095981,,,0.46851316,512,OMN
